file,iso,num_tokens,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,corpus
tos-x-bible.csv,tos,50000,9.8507184409,9.9700293208,10.213126418,10.5056437101,9.850816758,9.8725573881,10.1577818589,10.0295222691,9.8680887513,PBC
aoj-x-bible-mufian.csv,aoj,50000,9.8522875839,9.9448508978,10.1201414588,10.3436772033,9.8523795809,9.8727114343,10.0753005516,9.9779434771,9.8719600139,PBC
sxb-x-bible.csv,sxb,50000,9.8581892494,9.9495984072,10.1205462405,10.3398585731,9.8582804148,9.8784280225,10.0763667994,9.9804420097,9.875698626,PBC
grc-x-bible-ecumenical.csv,grc,50000,9.8697418147,9.9839455541,10.2061716308,10.4801365305,9.8698366985,9.8908184124,10.1617126495,10.0316441141,9.8796529046,PBC
est-x-bible-1968.csv,est,50000,9.871843648,9.9787329235,10.1853320371,10.4424490941,9.8719377614,9.8927446736,10.1274990387,10.0217295961,9.8823045703,PBC
kat-x-bible.csv,kat,50000,9.8770799448,9.9937939736,10.2178346722,10.4948565087,9.8771740603,9.8979878679,10.1775636773,10.0402020578,9.8831731271,PBC
ben-x-bible-holybible.csv,ben,50000,9.8591353574,9.922383108,10.0234611781,10.1660230605,9.8592162681,9.8770788875,9.9844961145,9.9282650386,9.8870253541,PBC
naf-x-bible.csv,naf,50000,9.8667461537,9.9592229058,10.1368321645,10.3616108343,9.8668391629,9.8873916846,10.0727755212,9.9945562672,9.889776265,PBC
zos-x-bible.csv,zos,50000,9.879713529,10.0038141564,10.2536074101,10.5537505528,9.8798113373,9.9014413147,10.1897145699,10.0637926541,9.8908466354,PBC
kgf-x-bible.csv,kgf,50000,9.8730847494,9.9583047455,10.1146466322,10.3177681985,9.8731745211,9.8930082894,10.0542447401,9.9843202138,9.8914335789,PBC
mcq-x-bible.csv,mcq,50000,9.8727744059,9.9741958672,10.1715738585,10.4178178729,9.8728687123,9.8937140666,10.1118522124,10.0157488593,9.8914695588,PBC
ell-x-bible-koine1894.csv,ell,50000,9.8888450313,10.0044481849,10.228306494,10.5042407893,9.8889397031,9.9098749837,10.1840319767,10.0520376977,9.8987608851,PBC
arp-x-bible.csv,arp,13714,9.8944459478,10.1678047828,10.4195520666,10.7734273783,9.8946964155,9.9234673021,10.5553524181,10.0959795735,9.9062835239,PBC
kdc-x-bible.csv,kdc,50000,9.8970847911,9.9910475192,10.1650439789,10.3882371435,9.8971755483,9.9172339715,10.1171003434,10.0216667219,9.9117159413,PBC
ter-x-bible.csv,ter,50000,9.896837253,9.9955464477,10.1806949282,10.4158512427,9.8969290331,9.9172164799,10.1388856218,10.029993344,9.912120714,PBC
ben-x-bible-old.csv,ben,50000,9.8862073438,9.9513738788,10.0556206264,10.2021592567,9.886288433,9.9041917659,10.0157982418,9.9576743513,9.914122207,PBC
kik-x-bible-2007.csv,kik,50000,9.9046668183,10.0232707777,10.2630278017,10.5516632855,9.9047647469,9.9264167323,10.1860196319,10.0812463462,9.9172143226,PBC
spy-x-bible-2011.csv,spy,50000,9.9016551492,10.014589317,10.2358764411,10.5077653685,9.9017505325,9.9228401572,10.1852440004,10.0631763649,9.9177943512,PBC
cap-x-bible-2004.csv,cap,50000,9.9147338479,10.032255786,10.2584841258,10.5370862822,9.9148283035,9.9357159452,10.21068313,10.0798698155,9.9241256175,PBC
lif-x-bible-devanagari.csv,lif,50000,9.9173773591,9.9990771793,10.1413681393,10.3308892031,9.9174638812,9.9365794769,10.101619073,10.0175584418,9.9355708636,PBC
kua-x-bible.csv,kua,50000,9.9241258199,10.0150444614,10.1816869675,10.3966907049,9.924215881,9.9441171841,10.1260016772,10.0432052542,9.9432552307,PBC
mlh-x-bible.csv,mlh,50000,9.9249605961,10.0036451837,10.1375022316,10.3180706615,9.9250456572,9.9438366641,10.0955351692,10.0186710169,9.9439957136,PBC
emp-x-bible.csv,emp,50000,9.9212273479,9.9955405695,10.1196344665,10.289230472,9.9213111435,9.93982012,10.0825741454,10.0075247943,9.9465693265,PBC
guh-x-bible.csv,guh,50000,9.9376489203,10.0504820994,10.2628534684,10.5281828749,9.9377416468,9.9582462232,10.2387066681,10.0917220237,9.95048849,PBC
sri-x-bible.csv,sri,50000,9.9328816046,10.0238723808,10.187670239,10.4007751816,9.9329705154,9.9526198239,10.1474854412,10.0494910568,9.9534761528,PBC
rus-x-bible-synodal.csv,rus,50000,9.9461149906,10.0585153613,10.2714676473,10.5363512864,9.9462082482,9.9668276753,10.2105437087,10.1010065714,9.9537774347,PBC
mcd-x-bible.csv,mcd,50000,9.9357895558,10.0456652101,10.2580028259,10.5208644932,9.935883931,9.9567487222,10.204850014,10.090376424,9.9556842522,PBC
cwe-x-bible.csv,cwe,50000,9.9431089215,10.0527970254,10.2642255721,10.5259665458,9.9432031907,9.9640434391,10.1990623234,10.0971193762,9.956686132,PBC
dug-x-bible.csv,dug,50000,9.9506146092,10.0515455542,10.2363618645,10.472556985,9.9507050661,9.9707016599,10.2060418462,10.0833606143,9.9648168859,PBC
mnb-x-bible.csv,mnb,50000,9.9530041966,10.0542669615,10.2409716349,10.4787105808,9.9530951255,9.9731953968,10.1953812436,10.0873295073,9.9703750252,PBC
est-x-bible-newworld2009.csv,est,50000,9.9595755019,10.0578086073,10.2338245385,10.4613962738,9.9596645206,9.9793422791,10.189029422,10.0853952805,9.9732571304,PBC
pol-x-bible-gdansk.csv,pol,50000,9.9634979041,10.0661312293,10.2519999141,10.4900897682,9.9635877993,9.9834612503,10.2039563605,10.0969593451,9.9761513644,PBC
fin-x-bible-1766.csv,fin,50000,9.9690247901,10.0868785479,10.3087087536,10.5837383346,9.9691179213,9.9897123069,10.2456118373,10.1307466602,9.9766540954,PBC
zaw-x-bible.csv,zaw,50000,9.9610478573,10.0696972208,10.2754555427,10.5322857331,9.9611409251,9.9817159104,10.2152903085,10.1104601997,9.9778060886,PBC
ded-x-bible.csv,ded,50000,9.9601571891,10.0659067356,10.2655090974,10.5156760966,9.960249915,9.9807474444,10.1946907229,10.1048306854,9.9791520898,PBC
hun-x-bible-2003.csv,hun,50000,9.9743512785,10.1023039017,10.3455367029,10.6428588838,9.9744455511,9.9952966857,10.2965615862,10.152864348,9.9830508112,PBC
mam-x-bible-southern.csv,mam,50000,9.9672916175,10.0693622916,10.2596129515,10.500114234,9.9673833785,9.9876656667,10.1961560263,10.1046904059,9.9838470598,PBC
gog-x-bible.csv,gog,50000,9.9639629312,10.06322035,10.2498097296,10.4855205827,9.9640550943,9.9844238288,10.1897108858,10.0986944932,9.9876660442,PBC
kqy-x-bible.csv,kqy,50000,9.9771498154,10.0829714967,10.2757609565,10.5210834041,9.9772402798,9.9972403966,10.2249000567,10.1160661338,9.9881919931,PBC
est-x-bible-1997.csv,est,50000,9.9848432948,10.0900013363,10.2826104734,10.5271244892,9.9849341029,10.0050088194,10.224850024,10.1237906908,9.9956259569,PBC
ukr-x-bible-1871.csv,ukr,50000,9.9861923263,10.0984628544,10.306786708,10.5680240008,9.9862842762,10.0066151831,10.2500198083,10.1373171447,10.0003000609,PBC
apu-x-bible.csv,apu,50000,9.9853369619,10.088864758,10.2785964196,10.5197856629,9.9854277297,10.0054924557,10.2201491852,10.1221042902,10.0019549929,PBC
luo-x-bible.csv,luo,50000,9.9871514442,10.0946177978,10.2955141973,10.5475898579,9.9872436974,10.0076374265,10.2265061597,10.1328203168,10.0044767069,PBC
hye-x-bible-latin.csv,hye,50000,9.9898266694,10.0907287606,10.2710441063,10.5036131763,9.9899156928,10.0095957395,10.2292785789,10.1189521677,10.006532253,PBC
mlt-x-bible-newworld.csv,mlt,50000,10.0015457703,10.1128352657,10.3156757759,10.5719820655,10.0016365979,10.021719017,10.2569747534,10.1483221129,10.0093264212,PBC
aak-x-bible.csv,aak,50000,9.9908817187,10.0969053772,10.2964717066,10.5465079783,9.9909743394,10.0114480925,10.2383759035,10.1356367029,10.0095449756,PBC
chu-x-bible.csv,chu,50000,10.0034354383,10.1147393607,10.3162443649,10.571735227,10.0035258129,10.0235090109,10.2721911419,10.1490193445,10.0120753749,PBC
rus-x-bible-churchslavonic.csv,rus,50000,10.0041769671,10.1155818781,10.3172538593,10.5729328171,10.0042673428,10.0242508351,10.2735337581,10.1498908572,10.0128136141,PBC
pkb-x-bible.csv,pkb,50000,10.0034881651,10.1066697144,10.2939689849,10.5330968784,10.0035783157,10.0235071531,10.2644090593,10.1382757272,10.0169683992,PBC
pib-x-bible.csv,pib,50000,10.0104429931,10.1630657015,10.4609218063,10.8114971727,10.010540424,10.0320966276,10.4335131119,10.2330306755,10.0176719258,PBC
pol-x-bible-gdansknew.csv,pol,50000,10.0065657804,10.1077996914,10.2865745234,10.5180470857,10.0066541519,10.0261902043,10.2420965685,10.134459267,10.0199792076,PBC
ces-x-bible-novakarlica.csv,ces,50000,10.0097572642,10.1099668618,10.2867912638,10.5159881351,10.0098455546,10.0293628218,10.241858981,10.1361967724,10.021517847,PBC
coe-x-bible.csv,coe,50000,10.002500523,10.095886173,10.2587105528,10.472437116,10.0025877538,10.02186748,10.2242492074,10.1181784588,10.0223585525,PBC
nyf-x-bible.csv,nyf,50000,10.0164667731,10.1243082275,10.3235303163,10.5745307481,10.0165583086,10.0367941061,10.2796815925,10.1607444945,10.032620001,PBC
tcc-x-bible.csv,tcc,50000,10.0225956999,10.1456864407,10.3799441658,10.6666969238,10.0226899684,10.0435357341,10.3135456916,10.1945413149,10.0359533666,PBC
ben-x-bible-common.csv,ben,50000,10.0123292069,10.0863827433,10.2056487498,10.3704642078,10.0124112751,10.0305351284,10.1532814185,10.0950701479,10.0418154965,PBC
kvn-x-bible.csv,kvn,50000,10.0362318276,10.1901096806,10.4902687336,10.8427619188,10.036329357,10.057907067,10.4607562252,10.2608827061,10.0453379928,PBC
kwi-x-bible.csv,kwi,50000,10.0269927442,10.1288325871,10.3136621421,10.5495589433,10.0270829218,10.0470151356,10.2537869859,10.1601046839,10.0486075154,PBC
slk-x-bible-newworld.csv,slk,50000,10.0415400846,10.1509540765,10.3491040205,10.6001213788,10.0416305316,10.0616265196,10.2886408144,10.1848839176,10.0508338076,PBC
sun-x-bible-informal.csv,sun,50000,10.032476959,10.128170921,10.2954124832,10.513707828,10.0325645597,10.0519253265,10.2401649242,10.1517423153,10.0512779624,PBC
ben-x-bible-mussolmani.csv,ben,50000,10.023530976,10.0982048713,10.2180798446,10.38381348,10.023612913,10.0417083418,10.1657971813,10.106701429,10.0529931453,PBC
ttq-x-bible.csv,ttq,50000,10.0402160876,10.1659325335,10.4059986521,10.6983577701,10.0403107739,10.0612491363,10.3270099999,10.2169094365,10.0560670469,PBC
mfy-x-bible.csv,mfy,50000,10.0406126742,10.1529553371,10.3611321945,10.6214330149,10.0407047259,10.061055518,10.2909095465,10.192039756,10.0568111716,PBC
tsz-x-bible.csv,tsz,50000,10.0528690736,10.1896654174,10.4521017901,10.7673962475,10.0529646582,10.0741060046,10.3897033917,10.2473462176,10.0611132172,PBC
mlt-x-bible.csv,mlt,50000,10.0570116677,10.1609289915,10.3408342875,10.5746205965,10.0570990984,10.0764280932,10.2977598254,10.1857367026,10.0671677101,PBC
cbs-x-bible.csv,cbs,50000,10.050618652,10.1620956979,10.3664941667,10.6236551205,10.0507099368,10.0708921876,10.324133058,10.1988774851,10.0699794533,PBC
chd-x-bible.csv,chd,50000,10.0563186959,10.1693538523,10.3762185379,10.6361953124,10.0564099579,10.076587841,10.3283593419,10.2064927274,10.0752014036,PBC
cof-x-bible.csv,cof,50000,10.0628268228,10.1559960686,10.3152449179,10.5254945486,10.0629130398,10.0819669826,10.2731090795,10.1758644856,10.0827866903,PBC
ces-x-bible-newworld.csv,ces,50000,10.0762684494,10.1832154328,10.3727958405,10.6153879783,10.0763575502,10.0960544025,10.3096750743,10.2129413847,10.0860766957,PBC
hun-x-bible-revised.csv,hun,50000,10.0784205151,10.2052334092,10.435497578,10.7216939846,10.0785119877,10.0987430713,10.3916905915,10.2467254432,10.0876282838,PBC
slk-x-bible-catholic.csv,slk,50000,10.0769735352,10.1798665455,10.3570709027,10.5879532344,10.0770606439,10.0963176342,10.3139393535,10.2036540453,10.0900119609,PBC
sey-x-bible.csv,sey,50000,10.0740429371,10.158440597,10.2971858657,10.4849061524,10.0741266419,10.092619306,10.245648148,10.1714486679,10.0979428636,PBC
pua-x-bible.csv,pua,50000,10.090722368,10.2298847316,10.4936397922,10.8108954875,10.0908173483,10.1118255863,10.4306170914,10.2863342607,10.0989648539,PBC
rus-x-bible-newworld.csv,rus,50000,10.08814276,10.1940942838,10.3806006888,10.6202052506,10.0882313922,10.1078244636,10.320615453,10.2223770562,10.1014237036,PBC
ksr-x-bible.csv,ksr,50000,10.0806643036,10.1735450103,10.3325039632,10.5419282407,10.0807506823,10.099838224,10.2732895729,10.1936912789,10.1016633549,PBC
nop-x-bible.csv,nop,50000,10.0981172236,10.2073725191,10.4045883535,10.6541055756,10.0982076093,10.1181878753,10.3327738608,10.2410451125,10.1162193003,PBC
hye-x-bible-western.csv,hye,50000,10.1048139187,10.2121648567,10.3976161112,10.6376252379,10.1049014581,10.1242554452,10.3554193733,10.2379074664,10.1215266931,PBC
aom-x-bible.csv,aom,50000,10.0992664279,10.189997519,10.3410547159,10.5429820256,10.0993511127,10.1180648843,10.3062892636,10.2059818752,10.1225632779,PBC
